127.0.0.1 - - [21/Aug/2015:01:41:03 +0800] "GET /asf-logo.png HTTP/1.1" 200 17811
127.0.0.1 - - [21/Aug/2015:01:41:03 +0800] "GET /bg-middle.png HTTP/1.1" 200 1918
127.0.0.1 - - [21/Aug/2015:01:41:04 +0800] "GET /manager/html HTTP/1.1" 401 2550
127.0.0.1 - sa [21/Aug/2015:01:41:19 +0800] "GET /manager/html HTTP/1.1" 403 3287
127.0.0.1 - - [21/Aug/2015:01:43:24 +0800] "GET /docs/manager-howto.html HTTP/1.1" 200 120032
127.0.0.1 - - [21/Aug/2015:01:43:24 +0800] "GET /docs/images/void.gif HTTP/1.1" 200 43
127.0.0.1 - - [21/Aug/2015:01:43:24 +0800] "GET /docs/images/tomcat.gif HTTP/1.1" 200 2066
127.0.0.1 - - [21/Aug/2015:01:43:24 +0800] "GET /docs/images/asf-logo.gif HTTP/1.1" 200 7279
127.0.0.1 - - [21/Aug/2015:01:43:30 +0800] "GET / HTTP/1.1" 200 11444
127.0.0.1 - sa [21/Aug/2015:01:43:32 +0800] "GET /manager/html HTTP/1.1" 403 3287
127.0.0.1 - - [21/Aug/2015:01:43:42 +0800] "GET / HTTP/1.1" 200 11444
127.0.0.1 - - [21/Aug/2015:01:43:43 +0800] "GET /manager/html HTTP/1.1" 401 2550
127.0.0.1 - sa [21/Aug/2015:01:43:47 +0800] "GET /manager/html HTTP/1.1" 403 3287
127.0.0.1 - - [21/Aug/2015:01:45:14 +0800] "GET / HTTP/1.1" 200 11444
127.0.0.1 - - [21/Aug/2015:01:45:17 +0800] "GET /manager/html HTTP/1.1" 401 2550
127.0.0.1 - - [21/Aug/2015:01:45:21 +0800] "GET /manager/html HTTP/1.1" 401 2550
127.0.0.1 - tomcat [21/Aug/2015:01:45:30 +0800] "GET /manager/html HTTP/1.1" 200 15827
127.0.0.1 - tomcat [21/Aug/2015:01:45:31 +0800] "GET /manager/images/asf-logo.gif HTTP/1.1" 200 7279
127.0.0.1 - tomcat [21/Aug/2015:01:45:31 +0800] "GET /manager/images/tomcat.gif HTTP/1.1" 200 2066
127.0.0.1 - - [21/Aug/2015:01:46:06 +0800] "GET / HTTP/1.1" 200 11444
127.0.0.1 - - [21/Aug/2015:01:46:08 +0800] "GET /manager/html HTTP/1.1" 401 2550
127.0.0.1 - sa [21/Aug/2015:01:46:12 +0800] "GET /manager/html HTTP/1.1" 200 15827
127.0.0.1 - - [21/Aug/2015:02:05:38 +0800] "GET / HTTP/1.1" 200 11444
127.0.0.1 - - [21/Aug/2015:02:05:49 +0800] "GET /docs/setup.html HTTP/1.1" 200 17181
127.0.0.1 - - [21/Aug/2015:02:05:49 +0800] "GET /docs/images/tomcat.gif HTTP/1.1" 200 2066
127.0.0.1 - - [21/Aug/2015:02:05:49 +0800] "GET /docs/images/asf-logo.gif HTTP/1.1" 200 7279
127.0.0.1 - - [21/Aug/2015:02:05:49 +0800] "GET /docs/images/void.gif HTTP/1.1" 200 43
127.0.0.1 - - [21/Aug/2015:02:17:38 +0800] "GET /manager/undeploy?path=/SKBWeb HTTP/1.1" 404 1597
